ID,hl,hl_linker1,hl_linker2,hl_linker3,hl_linker4,lh,lh_linker1,lh_linker2,lh_linker3,lh_linker4,Separate
6mty,82.4859518667078,76.60699485004544,77.22012793811365,76.6204052010886,80.98604303646144,81.82834001851282,79.03059678885187,76.31247545373401,78.77521923193227,80.34222056186492,85.7205699842483
4qhk,81.52800187324384,79.58083052405762,77.90697261510682,76.73637809727745,78.66691354292625,82.01965344989071,79.81628562672388,78.62103219981944,79.61126950137657,81.06489419588875,84.94687350184674
2xa8,82.696292506771,79.52719184156074,79.44525994772002,81.1856358807908,82.5396820303384,82.14653024375565,80.40183860478865,78.79520185884404,79.79576276187667,81.36320595099184,86.08854943587463
2f5a,77.38641310883945,72.8864412285883,77.35123911781776,71.39164799528302,75.45893617021277,77.8161906193626,74.01915829887773,77.04738537434709,72.7386291273585,76.48863305158847,83.90323136555375
6mts,79.68663321167884,74.9262395459976,74.87286384976527,74.46582886106142,78.15495431771294,79.13920316301703,75.9502807646356,74.82237382629108,74.0647137745975,77.43183613321544,82.61571415449379
5i8k,82.12002482929856,79.67820231566118,77.90874925194494,77.05850060827251,80.16149984971445,81.59211359404097,79.8287751371115,79.72184619988032,80.18482968369831,80.00732792305381,85.50861827544466
5wl2,81.58481504702195,80.36912615384614,78.35994259818732,77.68977886977886,81.33225493171473,81.11730407523511,78.74459999999999,76.80074320241692,77.25496621621622,78.80378148710167,85.48465107482573
4x4x,83.60289926289927,81.3802191943128,75.94868421052631,81.34620425029516,78.9239065204847,84.47714987714987,78.33840639810425,76.17708810068649,79.34406729634003,82.78118869013271,83.6263676467246
5ibu,80.72961399276237,76.98362855450236,76.54616705471479,77.50607037256063,80.34525869628763,79.52052774427021,76.97123518957346,77.85744761350408,76.77287699586044,79.1834668225665,84.30803143921963
7mfa,77.50169455430483,74.924120107559,74.97891693572058,74.99698478974052,76.52801297169812,78.6742713720718,74.15044218703316,73.35729674200176,74.74819266328662,77.08372936320754,82.44495995173808
